ld8,H_all1,H_all2,H_all3,H_all4,H_all5,H_all6,H_all7,H_all8,H_all9,H_all10,H_all11,H_all12,H_all13
11683_20180906,1.47025371980268,1.38842145155787,1.19758800234614,1.34633608016129,1.49146601510812,1.39385868842331,1.36159849381116,1.28235702107706,1.19854081596553,1.42080467234218,1.1436484076087,1.23320057293936,1.53835321756043
11683_20200821,1.5914887418476,1.36871661511775,1.44219461580577,1.39236848929982,1.53675120449953,1.28684757565234,1.52397735230124,1.29132553588781,1.24023017755933,1.31339221678686,1.1374656726119,1.01135847403359,1.27543213467177
11683_20211106,1.48162927596872,1.34442110560723,1.30492892362179,1.19472095983471,1.47352335839989,1.31357154098868,1.45934986615572,1.31323163500717,1.08928319542952,1.22222892751184,1.12032380009293,1.0900372336306,1.11123297280731
11685_20180907,1.532823852666,1.37631210119455,1.26145165580388,1.25292902126828,1.27829417265267,1.31398691539733,1.3655941438021,1.3178566092366,1.22282410462792,1.38070755478792,1.20807820683063,1.3479694516037,0.988213326561153
11686_20180917,1.22612397810881,1.30900592041356,1.25053578367735,1.47858675719707,1.02730323119932,1.23540983412063,1.32302266050915,1.18308781924404,1.50378534545987,1.30110233891905,1.30941256854597,1.13790281770659,1.35673241588682
11686_20200724,1.52507812868647,1.44697602556661,1.45976593718823,1.51117330628451,1.20872475170398,1.23843172810961,1.39611688841557,1.3684308456433,1.53480017932776,1.40996460627891,1.25618909493058,1.30421100414409,1.34423777546574
11688_20181215,1.06297287829156,1.24509986167369,1.24091654989501,1.16406270272602,1.13199932160548,1.32457438493856,1.21757249388875,1.16272486090674,1.23334022934642,1.23554036955837,1.01506676778848,1.12209706051551,1.35191233664143
11688_20200824,1.24144159908578,1.28055760309633,1.22673162422371,1.34610981678446,1.25688061826263,1.45352332871576,1.35531819619511,1.23199623461643,1.15190036261899,1.15935910642163,1.12098345847454,1.20829943189618,1.26513861420029
11689_20181029,1.4423531525784,1.47718239894265,1.39749123020346,1.29544400403288,1.36925880667947,1.49310052482161,1.38738469361214,1.1608411521926,1.28076716334206,1.16778648573129,1.1681263116726,1.38391924072965,1.4912472369649
11689_20210605,1.55314309566325,1.43350895667795,1.52550076640015,1.48245941440122,1.3375778185145,1.52337264194602,1.40510843451477,1.42280070827858,1.31753864592723,1.30295777694834,1.51735637627288,1.4332987095815,1.46086730932226
