"trial" "xdat" "lat" "fstCorrect" "ErrCorr" "AS" "Count" "Desc" "ld8"
"304" 16 133 294 TRUE FALSE "AS" 1 "" "10997.20200221"
"305" 17 134 277 TRUE FALSE "AS" 1 "" "10997.20200221"
"306" 18 133 169 TRUE FALSE "AS" 1 "" "10997.20200221"
"307" 19 133 132 TRUE FALSE "AS" 1 "" "10997.20200221"
"308" 20 132 NA FALSE FALSE "AS" -1 "moving (68.014 px/60Hz) before target onset" "10997.20200221"
"309" 21 134 243 TRUE FALSE "AS" 1 "" "10997.20200221"
"310" 22 132 226 TRUE FALSE "AS" 1 "" "10997.20200221"
"311" 23 132 NA FALSE FALSE "AS" -1 "no saccades (getSacs)" "10997.20200221"
"312" 24 134 201 TRUE FALSE "AS" 1 "" "10997.20200221"
"313" 25 131 NA FALSE FALSE "AS" -1 "blink before target onset" "10997.20200221"
"314" 26 134 189 TRUE FALSE "AS" 1 "" "10997.20200221"
"315" 27 131 199 TRUE FALSE "AS" 1 "" "10997.20200221"
"316" 28 134 186 TRUE FALSE "AS" 1 "" "10997.20200221"
"317" 29 132 339 FALSE TRUE "AS" 2 "" "10997.20200221"
"318" 30 134 253 TRUE FALSE "AS" 1 "" "10997.20200221"
"319" 31 134 221 TRUE FALSE "AS" 1 "" "10997.20200221"
"320" 32 131 147 FALSE TRUE "AS" 2 "" "10997.20200221"
"321" 33 133 297 TRUE FALSE "AS" 1 "" "10997.20200221"
"322" 34 133 228 TRUE FALSE "AS" 1 "" "10997.20200221"
"323" 35 132 NA FALSE FALSE "AS" -1 "moving (-Inf px/60Hz) before target onset" "10997.20200221"
"324" 36 133 189 TRUE FALSE "AS" 1 "" "10997.20200221"
"325" 37 134 282 TRUE FALSE "AS" 1 "" "10997.20200221"
"326" 38 133 199 TRUE FALSE "AS" 1 "" "10997.20200221"
"327" 39 132 172 FALSE TRUE "AS" 2 "" "10997.20200221"
"328" 40 131 206 TRUE FALSE "AS" 1 "" "10997.20200221"
"329" 41 131 NA FALSE FALSE "AS" -1 "moving (-Inf px/60Hz) before target onset" "10997.20200221"
"330" 42 131 297 TRUE FALSE "AS" 1 "" "10997.20200221"
"331" 43 133 145 FALSE TRUE "AS" 2 "" "10997.20200221"
"332" 44 134 238 TRUE FALSE "AS" 1 "" "10997.20200221"
"333" 45 134 NA FALSE FALSE "AS" -1 "average fixpos(59.387500) is off from baseline(130.500000)!" "10997.20200221"
"334" 46 131 NA FALSE FALSE "AS" -1 "moving (4.668 px/60Hz) before target onset" "10997.20200221"
"335" 47 133 270 TRUE FALSE "AS" 1 "" "10997.20200221"
"336" 48 133 351 TRUE FALSE "AS" 1 "" "10997.20200221"
"337" 1 133 231 TRUE FALSE "AS" 1 "" "10997.20180731"
"338" 2 132 243 TRUE FALSE "AS" 1 "" "10997.20180731"
"339" 3 132 403 TRUE FALSE "AS" 1 "" "10997.20180731"
"340" 4 131 676 TRUE FALSE "AS" 1 "" "10997.20180731"
"341" 5 132 277 TRUE FALSE "AS" 1 "" "10997.20180731"
"342" 6 132 329 TRUE FALSE "AS" 1 "" "10997.20180731"
"343" 7 134 290 TRUE FALSE "AS" 1 "" "10997.20180731"
"344" 8 134 208 TRUE FALSE "AS" 1 "" "10997.20180731"
"345" 9 131 186 FALSE TRUE "AS" 2 "" "10997.20180731"
"346" 10 132 250 TRUE FALSE "AS" 1 "" "10997.20180731"
"347" 11 133 216 FALSE TRUE "AS" 2 "" "10997.20180731"
"348" 12 134 221 TRUE FALSE "AS" 1 "" "10997.20180731"
"349" 13 131 172 FALSE TRUE "AS" 2 "" "10997.20180731"
"350" 14 134 125 FALSE TRUE "AS" 2 "" "10997.20180731"
"351" 15 133 371 TRUE FALSE "AS" 1 "" "10997.20180731"
"352" 16 131 140 FALSE TRUE "AS" 2 "" "10997.20180731"
"353" 17 131 218 TRUE FALSE "AS" 1 "" "10997.20180731"
